NodeType,MIMversion,MO,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5
MSRBS-V2,17B-V14,EUtranCellRelation,30,91,181,362,
,,UtranCellRelation,15,45,91,181,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,16A-V18,EUtranCellRelation,20,61,122,245,
,,UtranCellRelation,10,30,60,120,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17B-RUI-V5,EUtranCellRelation,30,91,181,362,
,,UtranCellRelation,15,45,91,181,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17A-V10,EUtranCellRelation,31,92,184,367,
,,UtranCellRelation,15,46,92,184,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,16B-V13,EUtranCellRelation,18,54,109,218,
,,UtranCellRelation,10,30,60,121,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17-Q3-V1,EUtranCellRelation,30,91,181,362,
,,UtranCellRelation,15,45,91,181,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17-Q3-V2,EUtranCellRelation,30,91,181,362,
,,UtranCellRelation,15,45,91,181,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17B-RUI-V4,EUtranCellRelation,30,91,181,362,
,,UtranCellRelation,15,45,91,181,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,default,EUtranCellRelation,30,91,181,362,
,,UtranCellRelation,15,45,91,181,
,,Cdma20001xRttCellRelation,0,0,0,0,
